Store#,Name,Address,City,State/Province,Country,Zip,Interstate,Latitude,Longitude,Phone,Fax,Parking Spaces,Diesel Lanes,Bulk DEF Lanes,Showers,CAT Scale,Facilities/Restaurants,WiFi
1,"Pilot Travel Center","5868 Nittany Valley Drive","Mill Hall","PA","US","17751","I-80  Exit 173","41.03395900","-77.51567200","(570) 726-7618","(570) 726-5092","70","8","8","5","Yes","Subway, Breakfast/Soup Bar, Cinnabon","No",
2,"Pilot Travel Center","2246 OH-45","Austinburg","OH","US","44010","I-90  Exit 223","41.78552400","-80.85317500","(440) 275-3303","(440) 275-3311","150","8","8","7","Yes","Subway, Wingfoot Truck Care, Breakfast/Soup Bar","No",
3,"Pilot Travel Center","1150 North Canfield-Niles Road","Austintown","OH","US","44515","I-80  Exit 223","41.12874800","-80.76993400","(330) 505-3532","(330) 505-3548","200","13","13","8","Yes","McDonald's, Wingfoot Truck Care","No",
4,"Pilot Travel Center","39115 Colorado Road","Avon","OH","US","44011","I-90  Exit 151","41.46508500","-82.06067700","(440) 934-0110","(440) 934-1168","55","6","6","3","Yes","","No",
6,"Pilot Travel Center","61700 Southgate Road","Cambridge","OH","US","43725","I-70  Exit 178","39.99713700","-81.57691200","(740) 439-0989","(740) 432-9607","35","6","5","3","Yes","Subway","No",
8,"Pilot Travel Center","25600 US-23","Circleville","OH","US","43113","US 23 Pittsburg Rd","39.55794400","-82.95709800","(740) 420-0702","(740) 420-3972","55","5","5","6","Yes","Pizza Hut","Yes",
9,"Pilot Travel Center","6830 Franklin-Lebanon Road","Franklin","OH","US","45005","I-75  Exit 36","39.54265400","-84.29045100","(937) 746-4488","(937) 743-3006","200","11","11","7","Yes","Dunkin' Donuts, Subway, Wingfoot Truck Care","Yes",
11,"Pilot Travel Center","10920 Market Street","North Lima","OH","US","44452","I-76  Exit 232","40.95984200","-80.66030100","(330) 549-9203","(330) 549-1930","50","6","6","5","Yes","McDonald's","No",
12,"Pilot Travel Center","3430 Libbey Road","Perrysburg","OH","US","43551","I-80/90  Exit 71","41.52279000","-83.46146600","(419) 837-5091","(419) 837-5658","50","8","8","5","Yes","McDonald's","No",
13,"Pilot Travel Center","8924 Lake Road","Seville ","OH","US","44273","I-71  Exit 209","41.02919600","-81.90752600","(330) 769-4220","(330) 769-2202","190","12","12","10","Yes","Subway","No",
